Action,Annual Savings (lbs of CO2)
Replace 10 incandescent lightbulbs with ENERGY STAR ® lights,202
Enable the power management features on my computer,66
Line dry laundry,472
Wash clothes in cold water,31
"Recycle cans, plastic, glass, newspapers, and magazines",291
Drive 500 fewer miles per year,414
Perform regular maintenance on my vehicle,753
Go vegan,7300
